cid,name,aadt,lon,lat,n_pt,dsi,dsi_p90,veh_occ,dsi_veh,r_dsi,r_aadt,r_veh,veh_pred,veh_resid,r_resid,cdi_0.0,cdi_0.4,cdi_0.7,cdi_0.96,jump
10,교동사거리,37106.39178082192,128.8916515614952,37.75788370173345,45,1.4163333333333334,1.8302800000000001,0.1392422222222222,1.5764688888888887,0.8933333333333333,0.9066666666666666,0.8133333333333334,0.705062114746325,0.10827121858700839,0.6666666666666666,0.9028242074927953,0.8784151593453917,0.8631814548361311,0.851647855530474,3.0
101,포남교사거리,33247.925619834714,128.9145017867176,37.76441913215112,19,1.261905263157895,1.2995800000000002,0.1273736842105263,1.408384210526316,0.56,0.84,0.7466666666666667,0.6719962067330486,0.0746704599336181,0.6133333333333333,0.7593083573487033,0.7442204995693367,0.7348041566746604,0.7276749435665915,-2.0
131,죽헌교차로,38361.24657534246,128.87532023755114,37.78363764991357,33,1.2679939393939392,1.5797400000000001,0.04380909090909089,1.3183727272727275,0.6,0.92,0.18666666666666668,0.7116752963489803,-0.5250086296823137,0.013333333333333334,0.8277809798270894,0.7436003445305771,0.6910631494804157,0.6512866817155757,-13.0
132,난곡교,28222.04109589041,128.87934522273696,37.78281682806541,32,1.205378125,1.29536,0.04052499999999999,1.251984375,0.29333333333333333,0.7066666666666667,0.14666666666666667,0.6058643907064958,-0.4591977240398291,0.05333333333333334,0.587550432276657,0.532334194659776,0.4978737010391687,0.47178329571106103,-9.0
134,강릉방해정삼거리,6232.819178082192,128.90331454769182,37.801511611178384,21,1.227457142857143,1.398,0.00624285714285711,1.2346523809523813,0.37333333333333335,0.013333333333333334,0.013333333333333334,0.26197894736842087,-0.24864561403508753,0.17333333333333334,0.11707973102785783,0.12289405684754523,0.12652278177458035,0.12927012791572612,-1.0
135,경포생태저류지,24365.02191780822,128.8836470106099,37.77981006456431,15,1.1960066666666667,1.2103,0.07957333333333333,1.2875199999999998,0.24,0.64,0.36,0.5727984826932193,-0.21279848269321933,0.21333333333333335,0.5247262247838618,0.4925409130060293,0.4724540367705836,0.4572460496613996,-8.0
136,경포사거리,45055.38356164384,128.88551739894206,37.77798747116769,35,1.1716199999999999,1.21864,0.15621142857142856,1.3512714285714285,0.09333333333333334,1.0,0.92,0.7513543859649121,0.16864561403508793,0.7066666666666667,0.7387127761767531,0.7354005167958656,0.7333333333333335,0.731768246802107,2.0
138,녹색도시체험센터입구삼거리,13635.024657534246,128.90720469024603,37.78694031529383,27,1.1973259259259261,1.2930599999999999,0.0582259259259259,1.2642814814814813,0.25333333333333335,0.24,0.22666666666666666,0.3744030346135607,-0.14773636794689407,0.32,0.2438424591738713,0.25171403962101635,0.2566266986410871,0.26034612490594433,-2.0
143,율곡교차로,21420.249315068493,128.89157017406478,37.77040355039388,25,1.2312319999999999,1.3112,0.15099999999999997,1.404896,0.4266666666666667,0.5733333333333334,0.8933333333333333,0.5397325746799428,0.35360075865339047,0.9333333333333333,0.5310662824207493,0.5726442721791559,0.5985931254996004,0.6182392776523703,8.0
147,이명사거리,34000.18630136986,128.89115446726277,37.76511299776659,47,1.4864765957446808,1.8799,0.12462978723404249,1.6298063829787233,0.9866666666666667,0.8933333333333333,0.7333333333333333,0.6984489331436697,0.034884400189663545,0.5466666666666666,0.9202305475504322,0.881619293712317,0.8575219824140687,0.8392776523702032,1.0
148,모루도서관교차로,16320.223880597016,128.8921938261806,37.76301416443718,34,1.3198176470588234,1.46115,0.11022647058823527,1.4465941176470587,0.7466666666666667,0.32,0.6266666666666667,0.4140821242294924,0.21258454243717428,0.8,0.44295869356388096,0.4798621877691645,0.5028936850519585,0.5203310759969902,10.0
17,강릉우체국앞사거리,26901.89589041096,128.90431850761183,37.76560658919927,36,1.3676277777777779,1.6014,0.16395833333333332,1.5561944444444444,0.8266666666666667,0.68,0.9466666666666667,0.5926380275011852,0.35402863916548144,0.9466666666666667,0.7222670509125841,0.7454608096468561,0.7599360511590728,0.7708954100827691,11.0
177,서부지구대앞사거리,9002.78904109589,128.8756871059759,37.76843625023123,46,1.2932760869565219,1.5175,0.07484130434782606,1.3793434782608696,0.6933333333333334,0.08,0.32,0.2950448553816973,0.024955144618302727,0.5066666666666667,0.2567531219980788,0.28258397932816537,0.29870503597122305,0.31091045899172315,0.0
178,풋살경기장옆정류소옆삼거리,12525.819178082193,128.87620093713517,37.7716387590405,36,1.2037861111111112,1.31665,0.05934444444444442,1.2720305555555556,0.28,0.18666666666666668,0.25333333333333335,0.3479503082029396,-0.09461697486960624,0.37333333333333335,0.21356388088376566,0.23007751937984497,0.2403836930455636,0.24818660647103086,-1.0
179,경포초사거리,13536.224657534249,128.87878939973865,37.76901289314564,52,1.3280057692307692,1.5683,0.14682692307692305,1.4968480769230772,0.76,0.21333333333333335,0.88,0.36117667140825016,0.5188233285917498,1.0,0.3708741594620557,0.4359000861326443,0.4764828137490008,0.5072084273890143,13.0
