id,year,acc,dth,se,sl,cause,kind,n_pt,dsi_mean,dsi_med,dsi_p90,road_class,width,n_edge,sev_n,sev_ratio,set,name,full,cas,lon,lat
37412,2017,4,0,1,12.0,기타,risk,63.0,1.2837174603174604,1.2186,1.43344,3.126984126984127,14.222222222222221,6.0,1,0.25,risk,,,,,
37413,2017,4,0,0,6.0,기타,risk,117.0,1.3097470085470084,1.2133,1.5868200000000003,3.341880341880342,9.709401709401709,16.0,0,0.0,risk,,,,,
37414,2017,4,1,1,4.0,기타,risk,49.0,1.2701918367346938,1.1643,1.6328,3.3877551020408165,13.346938775510203,10.0,2,0.5,risk,,,,,
37415,2017,6,0,1,11.0,기타,risk,59.0,1.2173898305084745,1.1598,1.3193400000000002,3.1016949152542375,13.016949152542374,7.0,1,0.16666666666666666,risk,,,,,
37416,2017,4,0,2,6.0,기타,risk,124.0,1.4929532258064517,1.4361000000000002,1.87283,3.6451612903225805,8.741935483870968,27.0,2,0.5,risk,,,,,
37417,2017,4,0,4,7.0,기타 / 안전거리미확보,risk,44.0,1.3009227272727273,1.17005,1.7820200000000002,2.0,35.79545454545455,5.0,4,1.0,risk,,,,,
37418,2017,5,0,2,4.0,U턴중 / 기타,risk,110.0,1.3569763636363636,1.26985,1.6615600000000001,3.327272727272727,17.5,26.0,2,0.4,risk,,,,,
37419,2017,10,0,3,17.0,기타 / 안전거리미확보,risk,119.0,1.3520697478991597,1.2541,1.68612,3.46218487394958,16.07563025210084,23.0,3,0.3,risk,,,,,
37422,2017,6,0,1,8.0,기타,risk,71.0,1.2005014084507042,1.1633,1.2641,3.0422535211267605,21.211267605633804,7.0,1,0.16666666666666666,risk,,,,,
37423,2017,5,0,2,8.0,기타,risk,57.0,1.2452894736842104,1.1785,1.39568,2.7017543859649122,28.68421052631579,7.0,2,0.4,risk,,,,,
37424,2017,11,0,6,23.0,U턴중 / 기타,risk,163.0,1.4393901840490797,1.3582,1.8033000000000001,3.4171779141104293,16.190184049079754,46.0,6,0.5454545454545454,risk,,,,,
37425,2017,5,0,3,5.0,U턴중 / 기타,risk,127.0,1.5023590551181103,1.4348,1.942,3.4881889763779528,14.204724409448819,29.0,3,0.6,risk,,,,,
37426,2017,35,0,14,35.0,기타,risk,557.0,1.4474527827648116,1.3821,1.82634,3.6786355475763015,11.186714542190305,117.0,14,0.4,risk,,,,,
