edge_id,case,dsi,aadt,length,width,rclass,tp_dist
1,1,1.3164,22671.331506849318,89.98228909626536,6.0,4.0,138.51352564834636
2,1,1.1598,22671.331506849318,154.99015678484758,6.0,4.0,113.95909096942398
3,0,1.1809,22671.331506849318,155.04241854310277,6.0,4.0,131.07051228983977
4,0,1.2494,22671.331506849318,34.996534839341194,6.0,4.0,199.02298669759537
5,0,1.458,22671.331506849318,40.06039516117429,6.0,4.0,234.20898143272223
6,0,1.2334,12525.819178082193,189.9352106373367,6.0,4.0,350.79724536485725
13,0,1.253,24365.02191780822,469.628335014453,6.0,4.0,421.3860939065513
14,0,1.2421,24365.02191780822,174.9408087801735,6.0,4.0,129.5643285666632
23,0,1.562,15159.46301369863,34.964478159106896,6.0,4.0,475.94751818442563
24,0,1.5741,15159.46301369863,44.993043170878714,6.0,4.0,432.0977790502659
29,0,1.4504,6777.397260273972,194.83864767136134,3.0,4.0,439.5855915447506
30,0,1.4569,6777.397260273972,44.809192043753455,3.0,4.0,489.2867740432897
33,0,1.2905,29454.12328767123,70.02270863153039,8.0,4.0,113.37730178168968
34,0,1.4255,29454.12328767123,14.910127823670072,8.0,4.0,127.35455530872413
35,0,1.5275,29454.12328767123,19.95218234001765,8.0,4.0,138.34047277262894
36,0,1.4707,29454.12328767123,39.966348595675086,8.0,4.0,159.9310965756792
37,0,1.3465,29454.12328767123,34.99625416946761,8.0,4.0,190.15400567253215
38,0,1.3815,29454.12328767123,55.02008757555452,8.0,4.0,228.30065968715408
39,0,1.5562,29454.12328767123,30.031033610854518,8.0,4.0,267.13535495454244
40,0,1.4409,29454.12328767123,149.90308546940892,8.0,4.0,345.920221966206
41,0,1.6534,29454.12328767123,19.978132686265063,8.0,4.0,430.1501713154322
42,0,1.3707,29454.12328767123,9.95040509183031,8.0,4.0,448.10287859439296
47,0,1.3219,29454.12328767123,60.02143316975487,10.0,4.0,437.0576224172945
48,0,1.4318,29454.12328767123,35.00969256109939,10.0,4.0,482.9338820752937
53,0,1.4203,15159.46301369863,44.984776238373165,10.0,4.0,448.8564257846829
54,0,1.5084,15159.46301369863,45.090891559796106,10.0,4.0,403.75859979472517
55,0,1.2705,15159.46301369863,124.99077544817197,10.0,4.0,319.485494020337
56,0,1.2822,15159.46301369863,164.7564772679046,10.0,4.0,186.8778267032478
57,0,1.4673,29454.12328767123,94.93918618056745,6.0,4.0,473.0267429996184
64,0,1.1648,18143.601648351647,69.98876379489674,10.0,4.0,20.88246198297598
65,0,1.1765,18143.601648351647,109.91743192271664,10.0,4.0,109.8682441126959
66,0,1.1988,18143.601648351647,49.9271136865482,10.0,4.0,193.91406393306724
67,0,1.1812,18143.601648351647,19.968612881219727,10.0,4.0,230.2888751045175
68,0,1.1683,18143.601648351647,59.952157389263874,10.0,4.0,273.6826234531936
69,0,1.1512,18143.601648351647,259.91384365144154,10.0,4.0,422.41570333237104
90,0,1.2432,18143.601648351647,509.66314446560045,4.0,4.0,434.42718816463565
102,0,1.3349,45055.38356164384,54.79422930462228,3.0,4.0,329.11469911807035
103,0,1.2969,45055.38356164384,49.90044584653306,3.0,4.0,333.0068210642215
105,0,1.2249,45055.38356164384,74.93308028889699,3.0,4.0,377.4386019140246
106,0,1.478,45055.38356164384,214.11972658467252,3.0,4.0,465.9104635005133
112,0,1.2969,45055.38356164384,99.91939098905122,2.0,4.0,278.09233276662235
113,0,1.3987,45055.38356164384,109.97403395120212,2.0,4.0,186.97951612809283
114,0,1.4369,45055.38356164384,79.81150357595698,2.0,4.0,136.65092737340004
116,0,1.1763,45055.38356164384,134.8488007013529,2.0,4.0,183.49031605715672
118,0,1.2694,28222.04109589041,509.62415679896003,6.0,4.0,228.98380811828468
126,0,1.206,6777.397260273972,65.06000543452653,12.0,4.0,121.45505413213073
127,0,1.1706,6777.397260273972,280.04695328105385,12.0,4.0,290.7791899645262
129,0,1.2188,12458.46301369863,50.00813115803818,12.0,4.0,431.0912063162287
130,0,1.2217,12458.46301369863,160.00740815497548,12.0,4.0,377.25468115926435
139,0,1.3685,19718.77808219178,4.9542556458417994,15.0,4.0,235.09108023125214
140,0,1.27,19718.77808219178,74.96047924301844,15.0,4.0,191.32519745195734
141,0,1.2732,19718.77808219178,69.97320786135393,15.0,4.0,118.284953202027
142,0,1.4205,19718.77808219178,19.994540418772104,15.0,4.0,73.67102873679607
143,0,1.2872,19718.77808219178,35.00061041592176,15.0,4.0,46.92720032433635
145,0,1.6247,31519.065753424657,14.972007983346629,8.0,4.0,142.43238512554439
146,0,1.5999,31519.065753424657,5.037600541872118,8.0,4.0,152.33523968603578
147,0,1.4349,31519.065753424657,30.01624994442133,8.0,4.0,166.0006093082763
148,0,1.3401,31519.065753424657,29.965009512452966,8.0,4.0,193.0436856543042
149,0,1.5146,31519.065753424657,144.48934383999625,8.0,4.0,275.6690626747031
150,0,1.2878,12818.235616438356,334.3442757790092,5.0,4.0,201.56031799674147
153,1,1.4268,31519.065753424657,284.52171503028853,6.0,4.0,206.06324059726697
155,0,1.4434,42311.260273972606,120.02008273656683,8.0,4.0,114.95771156244692
156,0,1.4163,42311.260273972606,105.02578623928778,8.0,4.0,225.71317384058003
157,0,1.3598,19718.77808219178,105.01018884458549,8.0,4.0,222.34613521758303
158,0,1.4185,19718.77808219178,114.9224387448673,8.0,4.0,157.63498572852004
159,0,1.6545,19718.77808219178,44.99645929715137,4.0,4.0,157.0192909549256
160,0,1.6749,19718.77808219178,15.086871824792324,4.0,4.0,189.32193408359805
161,0,1.7757,19718.77808219178,40.037984379920864,4.0,4.0,219.7879969586771
162,0,1.7872,42311.260273972606,104.8617364883971,4.0,4.0,245.53082145864823
163,0,1.4305,26901.89589041096,39.99399736849333,12.0,4.0,162.82732557433573
