r,n_ix,n_pt_med,overlap,shared_pt,sd_between,rel_n,rel_eff,rel_p90,veh_sd,rho_prev
30,62,8.0,0.0,0.0,0.0980762745649138,0.8257763435561607,0.6535721093839711,0.9572301924105691,0.057326645230897554,
40,70,11.0,0.0,0.0,0.09221071658212832,0.8618927990352402,0.7129554770339976,0.971662884827202,0.05645219186334502,0.9091435622371635
50,73,16.0,0.02666666666666667,0.0,0.09104401532635199,0.8931029561075036,0.7735398026529289,0.9791472455487984,0.052245380780425635,0.9575540197707986
60,75,21.0,0.02666666666666667,0.004481434058898848,0.08722233675199191,0.9038838039388438,0.7898850214206636,0.9831300252693304,0.04983605185355614,0.9504504504504506
75,75,28.0,0.05333333333333334,0.006208425720620843,0.09047767596410018,0.9174641252654052,0.8193802896784796,0.984761422490062,0.04519450027528373,0.9399999999999998
90,75,37.0,0.05333333333333334,0.007899934167215274,0.09056631427710327,0.9259530746380902,0.8382554505313731,0.9859286212499125,0.043818307017194344,0.9601137980085348
100,75,45.0,0.13333333333333333,0.012640835394339104,0.09021236864364642,0.9301224692592047,0.8493323619618193,0.9871427477443638,0.04298955906151501,0.9685064011379799
125,75,67.0,0.26666666666666666,0.02519270539575108,0.08880991570793559,0.9438195996062922,0.8777835647117254,0.9888904064307706,0.0410905883387452,0.9465433854907539
150,75,86.0,0.4266666666666667,0.046045353982300884,0.08964571428383353,0.956349224402529,0.9050523740952823,0.9890619251303947,0.03851277282801125,0.9714935988620199
200,75,143.0,0.64,0.11175146330481765,0.09260581925891169,0.9738061030126879,0.9428848258561123,0.9924585251454384,0.0348624307618951,0.9672830725462304
250,75,216.0,0.76,0.19904447883722495,0.09271176504532129,0.9811050035951276,0.9588430244180249,0.9943471847032763,0.03369539947345847,0.9705832147937411
300,75,297.0,0.8533333333333334,0.3288231070856575,0.09341501767031185,0.9860383548394468,0.9693939994645326,0.9955400255436441,0.031843808826324434,0.976728307254623
