cid,name,aadt,n,dsi,dsi_p90,road_class,width,q
10,교동사거리,37106.39178082192,299,1.540076254180602,1.92474,3.6588628762541804,11.59866220735786,Q4(많음)
101,포남교사거리,33247.925619834714,101,1.3358277227722777,1.6176,3.277227722772277,15.128712871287128,Q4(많음)
131,죽헌교차로,38361.24657534246,75,1.2058640000000003,1.294880000000001,2.6933333333333334,26.173333333333332,Q4(많음)
132,난곡교,28222.04109589041,143,1.2584314685314686,1.51116,3.727272727272727,10.252853146853147,Q3
134,강릉방해정삼거리,6232.819178082192,97,1.252979381443299,1.4105,3.6288659793814433,9.8659793814433,Q1(적음)
135,경포생태저류지,24365.02191780822,65,1.2338615384615386,1.4536,3.646153846153846,12.461538461538462,Q3
136,경포사거리,45055.38356164384,116,1.2025612068965517,1.3198500000000002,3.189655172413793,16.637931034482758,Q4(많음)
138,녹색도시체험센터입구삼거리,13635.024657534246,78,1.2441371794871796,1.36428,3.0128205128205128,9.653846153846153,Q1(적음)
143,율곡교차로,21420.249315068493,132,1.357612878787879,1.69202,3.507575757575758,14.93939393939394,Q3
147,이명사거리,34000.18630136986,251,1.4691932270916337,1.8036,3.649402390438247,12.235059760956176,Q4(많음)
148,모루도서관교차로,16320.223880597016,124,1.4391306451612902,1.7158,3.443548387096774,16.516129032258064,Q2
17,강릉우체국앞사거리,26901.89589041096,281,1.416535231316726,1.7007,3.601423487544484,14.98576512455516,Q3
177,서부지구대앞사거리,9002.78904109589,262,1.3010454198473282,1.5792700000000002,3.5,16.16412213740458,Q1(적음)
178,풋살경기장옆정류소옆삼거리,12525.819178082193,254,1.287712598425197,1.5824200000000004,3.47244094488189,13.818897637795276,Q1(적음)
179,경포초사거리,13536.224657534247,274,1.3337773722627737,1.6078000000000001,3.7116788321167884,13.452554744525548,Q1(적음)
181,솔올중학교부근,13542.315068493152,204,1.308319117647059,1.6030800000000003,3.553921568627451,10.627450980392156,Q1(적음)
182,교동주공1단지,22538.057534246575,129,1.2794108527131782,1.57632,3.372093023255814,18.7984496124031,Q3
183,솔올중학교삼거리,19783.794520547945,130,1.2633046153846155,1.49805,3.3153846153846156,12.123076923076923,Q2
19,강릉경찰서앞,42075.78082191781,293,1.4522699658703073,1.7195799999999999,3.6109215017064846,14.334470989761092,Q4(많음)
190,교동2공원삼거리,18143.601648351647,155,1.3945503225806453,1.7212,3.529032258064516,16.07741935483871,Q2
193,강릉MBC앞삼거리,24915.005479452055,179,1.3780648044692738,1.6776800000000005,3.659217877094972,13.69832402234637,Q3
194,원주대입구삼거리,16795.205479452055,127,1.1868118110236223,1.25786,3.338582677165354,22.269826771653545,Q2
195,솔올교차로,40245.56438356164,170,1.2124799999999998,1.36204,2.8705882352941177,25.523529411764706,Q4(많음)
196,지변1교,22671.331506849314,214,1.2480827102803738,1.47967,3.4065420560747666,14.677570093457945,Q3
