cid,name,aadt,aadt_annual,n_days,ratio
10,교동사거리,43352.5,37106.39178082192,8,1.128752994212429
101,포남교사거리,34591.375,33247.925619834714,8,1.0049445264698955
131,죽헌교차로,41819.125,38361.24657534246,8,1.035159799993635
132,난곡교,30402.125,28222.04109589041,8,1.0306915636188403
134,강릉방해정삼거리,6722.0,6232.819178082192,8,1.0266121950288267
135,경포생태저류지,26793.5,24365.02191780822,8,1.0174848031942452
136,경포사거리,48629.0,45055.38356164384,8,1.0202940513094882
138,녹색도시체험센터입구삼거리,13563.125,13635.024657534246,8,0.9987258449659699
143,율곡교차로,24510.0,21420.249315068493,8,1.0381853993265138
147,이명사거리,37422.5,34000.18630136986,8,1.0614623611036542
148,모루도서관교차로,1318.0,16320.223880597016,8,0.5538812511256529
17,강릉우체국앞사거리,28618.625,26901.89589041096,8,1.0532921561874817
177,서부지구대앞사거리,9272.375,9002.78904109589,8,1.011254708125436
178,풋살경기장옆정류소옆삼거리,13234.625,12525.819178082193,8,0.9930180210357071
179,경포초사거리,13432.375,13536.224657534247,8,0.9743186881508731
181,솔올중학교부근,14108.0,13542.315068493152,8,0.9888430238234109
182,교동주공1단지,22807.375,22538.057534246575,8,1.002010748048484
183,솔올중학교삼거리,21443.375,19783.794520547945,8,1.0022342741154713
19,강릉경찰서앞,44116.75,42075.78082191781,8,1.029650820165425
190,교동2공원삼거리,18414.0,18143.601648351647,8,0.9867581735121367
193,강릉MBC앞삼거리,25148.125,24915.005479452055,8,0.9907969460579045
194,원주대입구삼거리,17445.75,16795.205479452055,8,1.016239662973943
195,솔올교차로,42009.0,40245.56438356164,8,0.9875872769588828
196,지변1교,25109.25,22671.331506849314,8,1.0157111403904164
197,분수공원사거리,34866.875,33321.14246575342,8,1.0108747424334985
199,부영1차아파트사거리,15543.0,14981.53021978022,8,0.9938728484746064
2,홍제교차로,36631.25,31584.86301369863,8,1.073732024207453
20,포남오거리,32139.5,31519.065753424657,8,1.0212788654903333
201,강릉문화원4거리,569.8333333333334,17097.982578397212,6,0.14215625129932227
202,한국수자원공사사거리,31525.5,30720.397260273974,8,1.002318683914102
207,부영5단지,35540.625,33608.82739726028,8,1.032045511585314
209,롯데시그니쳐앞교차로,14575.375,13836.471232876713,8,1.0401005668032703
210,강일여고,21038.375,19821.895316804406,8,1.0617800320476425
217,커피박물관사거리,19607.125,19199.1397260274,8,1.010486801079326
22,한솔초앞,29618.25,29454.12328767123,8,0.9885990165400089
222,송정해변입구사거리,13132.25,12458.46301369863,8,0.995077424348212
224,신도브래뉴아파트삼거리,10451.375,10168.14794520548,8,1.0047052886001895
227,유천초등학교진입부사거리,26545.5,25424.997260273973,8,1.019717328255376
229,사임당공원입구사거리,23509.125,21965.161643835618,8,1.0036601077982175
236,선수촌삼거리,21000.0,19971.712328767124,8,0.9985361595755882
237,장안교차로,8679.375,7928.208219178082,8,1.0035616947472745
248,내곡육교,36416.0,30598.564383561643,8,1.1044115894936368
249,보리사입구4거리,16150.375,13780.117318435754,8,1.1096073769264934
250,노암한라4차삼거리,24529.375,19625.87123287671,8,1.192451929337211
251,노암하나로마트4거리,26824.625,19708.641666666666,8,1.2564311236609145
256,강릉중앞,22378.625,19652.534246575342,8,1.092275819030586
260,6주공오거리,23116.75,20545.254794520548,8,1.0093800584479784
266,반갓마을입구삼거리,12710.25,11245.60989010989,8,1.0183358656743324
268,공항대교남단,10522.375,9849.424657534246,8,0.9811889101656814
29,강릉고등학교진입부사거리,15890.125,15159.46301369863,8,1.017921938273582
3,터미널오거리,49195.75,43406.356164383564,8,1.0831875957385908
305,임당성당교차로,20764.0,17246.194520547946,8,1.1751797964934125
37,홍제동주민센터앞(구_911),8874.25,7964.375342465753,8,1.0509488946128502
39,남문사거리,32118.625,28633.194520547946,8,1.0717512757503749
41,명주예술마당단일로,21258.5,12043.954385964913,8,1.0466974512996718
43,객사문사거리,35778.875,32777.45479452055,8,1.20182743881445
53,용지기념각사거리,35623.5,31211.101369863012,8,1.105818234629588
57,현문주방센터앞,21849.25,19718.77808219178,8,1.081879401143811
58,포남1동주민센터부근,45284.625,42311.260273972606,8,1.0377787562888203
61,원규앤노블리스,24006.0,22843.435616438357,8,1.0199214310533975
63,강릉이마트앞,19275.25,18789.783561643835,8,1.0069949510969145
67,국민건강보험공단부근,7246.125,6777.397260273972,8,1.0394191509090815
7,적십자사거리,39410.0,33765.32602739726,8,1.1360751316007573
72,안목사거리,19840.125,18747.80821917808,8,1.004612340928038
77,서희아파트사거리,12754.875,11876.054794520547,8,1.0168253010161519
79,회산교남단교차로,18142.875,16735.476712328767,8,1.0029525868451445
81,홍제교,16920.0,15328.780821917808,8,1.0557561171279584
85,내곡교사거리,23289.5,20639.41597796143,8,1.0543892327493094
86,남산교사거리,30839.625,27573.70523415978,8,1.0834008752427746
89,강릉교사거리,46274.0,41638.88493150685,8,1.0742373139921668
900,삼일운동기념탑삼거리,7170.625,6793.509589041096,8,1.0088003577422044
903,경포인공폭포삼거리,13391.25,12466.791780821917,8,0.9682579852135716
92,강원영동병무지청앞,14920.25,12818.235616438356,8,1.1015261217838854
94,입암주공1단지(구_908),31908.875,30310.46301369863,8,1.0266631810582076
99,강릉중앙고앞삼거리,19742.125,19113.699724517905,8,1.0077654415518122
