cid,name,addr,avg,lat,lon,src,osm,precise
10,교동사거리,홍제동 666-10,38668.032258064515,37.75166,128.87068,addr,place/quarter,False
101,포남교사거리,입암동 602-1,34220.89655172414,37.7640098,128.913777,name,highway/traffic_signals,True
105,향호3거리,주문진읍 향호리 산57-3,13529.483870967742,,,,,False
106,주문3거리,주문진읍 향호리 3-5,14048.806451612903,,,,,False
108,용소마을4거리,주문진읍 주문리 1071,18629.774193548386,,,,,False
110,장성사거리,주문진읍 교향리 204-1,8391.967741935483,,,,,False
115,주문진터미널오거리,주문진읍 교항리 108,16677.483870967742,,,,,False
119,국군병원3거리,주문진읍 교항리 산311-10,22458.612903225807,,,,,False
125,강릉병원4거리,사천면 방동리 708-1,43194.77419354839,,,,,False
127,한밭교차로,대전동 7-3,37905.12903225807,37.7919,128.85411,addr,place/quarter,False
129,동부보훈지청,죽헌동 300,39805.645161290326,37.79046,128.86459,addr,place/quarter,False
131,죽헌교차로,죽헌동 산 26,41613.6129032258,37.7839688,128.8754857,name,highway/traffic_signals,True
132,난곡교,죽헌동 921,31141.25806451613,37.7834424,128.880236,name,man_made/bridge,True
134,강릉방해정삼거리,저동 2-3,7701.451612903225,37.80453,128.88806,addr,place/quarter,False
135,경포생태저류지,죽헌동 754,25702.290322580644,37.79046,128.86459,addr,place/quarter,False
136,경포사거리,교동 1521-1,46823.45161290323,37.7777748,128.8855184,name,highway/traffic_signals,True
138,녹색도시체험센터입구삼거리,포남동 937-1,15694.645161290322,37.7719,128.90878,addr,place/quarter,False
143,율곡교차로,교동 707-90,29817.74193548387,37.7703497,128.8917779,name,highway/traffic_signals,True
147,이명사거리,교동 785-2,36236.709677419356,37.7651962,128.8915644,name,highway/traffic_signals,True
148,모루도서관교차로,교동 810-7,20101.354838709678,37.76473,128.89012,addr,place/quarter,False
17,강릉우체국앞사거리,포남동 1118,27944.935483870966,37.7719,128.90878,addr,place/quarter,False
173,강릉과학일반산업단지입구,대전동 533-5,11811.774193548386,37.7919,128.85411,addr,place/quarter,False
175,과학단지입구오거리,대전동 산 42-2,11289.290322580646,,,,,False
177,서부지구대앞사거리,교동 1926,9143.935483870968,37.76473,128.89012,addr,place/quarter,False
178,풋살경기장옆정류소옆삼거리,교동 1800-2,12614.032258064517,37.76473,128.89012,addr,place/quarter,False
179,경포초사거리,교동 1824-1,13649.032258064517,37.76473,128.89012,addr,place/quarter,False
181,솔올중학교부근,지변동 692-1,14121.967741935483,37.77576,128.87199,addr,place/quarter,False
182,교동주공1단지,교동 1749,23474.709677419356,37.76473,128.89012,addr,place/quarter,False
183,솔올중학교삼거리,교동 1281-1,21030.870967741936,37.76473,128.89012,addr,place/quarter,False
19,강릉경찰서앞,포남동 1197-13,43926.903225806454,37.7719,128.90878,addr,place/quarter,False
190,교동2공원삼거리,포남동 1264-1,18900.09677419355,37.7719,128.90878,addr,place/quarter,False
193,강릉MBC앞삼거리,포남2동 1090-17,26307.870967741936,37.7799759,128.9068906,addr,boundary/administrative,False
194,원주대입구삼거리,유천동 777,17333.74193548387,37.76941,128.86398,addr,place/quarter,False
195,솔올교차로,유천동 산 16-9,40252.48387096774,37.7652318,128.87347,name,highway/traffic_signals,True
196,지변1교,지변동 70-1,23365.451612903227,37.7719275,128.8752651,name,bridge/yes,True
197,분수공원사거리,교동 1916,34195.6129032258,37.76473,128.89012,addr,place/quarter,False
199,부영1차아파트사거리,교동 1912,15356.032258064517,37.76473,128.89012,addr,place/quarter,False
2,홍제교차로,홍제동 산 117-5,32753.870967741936,37.7530849,128.8797059,name,highway/traffic_signals,True
20,포남오거리,포남동 1241,34489.967741935485,37.7712656,128.9103602,name,junction/yes,True
201,강릉문화원4거리,교동 1448-1,20686.41935483871,37.76473,128.89012,addr,place/quarter,False
202,한국수자원공사사거리,교동 1863-4,30559.516129032258,37.76473,128.89012,addr,place/quarter,False
207,부영5단지,교동 1765,34587.41935483871,37.76473,128.89012,addr,place/quarter,False
209,롯데시그니쳐앞교차로,교동 1791,14728.516129032258,37.76473,128.89012,addr,place/quarter,False
210,강일여고,교동 1066-12,20448.8064516129,37.764733,128.891845,name,highway/bus_stop,True
217,커피박물관사거리,강문동 146-37,22071.225806451614,37.7915662,128.9190019,addr,place/quarter,False
22,한솔초앞,포남동 1056-5,31429.74193548387,37.7719,128.90878,addr,place/quarter,False
222,송정해변입구사거리,송정동 산67-1,13690.225806451614,,,,,False
224,신도브래뉴아파트삼거리,견소동 197,10789.032258064517,37.77614,128.93031,addr,place/quarter,False
227,유천초등학교진입부사거리,유천동 792,25805.1935483871,37.76941,128.86398,addr,place/quarter,False
229,사임당공원입구사거리,홍제동 1018-3,22718.16129032258,37.75166,128.87068,addr,place/quarter,False
236,선수촌삼거리,홍제동 666-10,20361.677419354837,37.75166,128.87068,addr,place/quarter,False
237,장안교차로,홍제동 산 306-4,7628.419354838709,37.7460039,128.8624472,name,highway/traffic_signals,True
248,내곡육교,내곡동 159-1,32376.16129032258,37.7413623,128.8898924,name,bridge/yes,True
249,보리사입구4거리,노암동 549-5,15791.741935483871,37.74274,128.91168,addr,place/quarter,False
250,노암한라4차삼거리,노암동 607-2,20066.8064516129,37.74274,128.91168,addr,place/quarter,False
251,노암하나로마트4거리,노암동 589-16,21768.064516129034,37.74274,128.91168,addr,place/quarter,False
256,강릉중앞,입암동 산85,20196.290322580644,,,,,False
260,6주공오거리,입암동 101-4,23335.74193548387,37.7599358,128.9189284,name,highway/traffic_signals,True
266,반갓마을입구삼거리,병산동 527-7,12517.967741935483,37.7631,128.9416,addr,place/quarter,False
268,공항대교남단,병산동 889-18,10991.354838709678,37.7631,128.9416,addr,place/quarter,False
279,비행장교차로,청량동 103-1,12926.838709677419,37.7399091,128.9306921,name,junction/yes,True
280,어정교차로,강동면 상시동리 818,9938.41935483871,,,,,False
284,모전삼거리,강동면 모전리 395-3,8132.387096774193,37.725692,128.964567,name,highway/bus_stop,True
286,임곡3거리,강동면 모전리 산17-2,8734.064516129032,,,,,False
29,강릉고등학교진입부사거리,송정동 951,18487.322580645163,37.7849732,128.9498758,addr,boundary/administrative,False
291,낙풍4거리,옥계면 낙풍리 708-9,6579.612903225807,,,,,False
292,옥계4거리,옥계면 현내리 223-15,7660.612903225807,,,,,False
295,주수천교4거리,옥계면 주수리 142-5,6044.870967741936,,,,,False
296,옥계역4거리,옥계면 주수리 208-3,14425.516129032258,,,,,False
298,한라시멘트4거리,옥계면 주수리 556-1,16944.41935483871,,,,,False
299,옥계저유소3거리,옥계면 주수리 88-25,16690.354838709678,,,,,False
3,터미널오거리,홍제동 993-3,44888.3870967742,37.754773,128.881774,name,highway/traffic_signals,True
300,도직3거리,옥계면 도직리 77-8,5643.774193548387,,,,,False
305,임당성당교차로,용강동 37-1,17607.09677419355,37.75404,128.89065,addr,place/quarter,False
37,홍제동주민센터앞(구_911),홍제동 97-3,8025.677419354839,37.75166,128.87068,addr,place/quarter,False
39,남문사거리,남문동 184-26,28700.870967741936,37.7482524,128.8873559,name,highway/traffic_signals,True
41,명주예술마당단일로,남문동 129-3,4723.733333333334,37.7499,128.89059,addr,place/quarter,False
43,객사문사거리,성내동 27-2,31294.967741935485,37.7526819,128.8930069,name,junction/yes,True
53,용지기념각사거리,옥천동 1-2,32143.58064516129,37.7606262,128.9035826,addr,boundary/administrative,False
57,현문주방센터앞,포남동 경강로 2231,20269.74193548387,,,,,False
58,포남1동주민센터부근,포남동 1005,44304.93548387097,37.7719,128.90878,addr,place/quarter,False
61,원규앤노블리스,포남동 1280,24075.8064516129,37.7719,128.90878,addr,place/quarter,False
63,강릉이마트앞,송정동 612-11 ,20524.290322580644,37.7849732,128.9498758,addr,boundary/administrative,False
67,국민건강보험공단부근,송정동 172-11,7020.8387096774195,37.7849732,128.9498758,addr,boundary/administrative,False
7,적십자사거리,강릉대로 148,35106.87096774193,37.757003,128.8866915,name,junction/yes,True
72,안목사거리,견소동 192-3,21294.935483870966,37.7736481,128.9436649,name,highway/traffic_signals,True
77,서희아파트사거리,회산동 195-4,12142.225806451614,37.73909,128.86613,addr,place/quarter,False
79,회산교남단교차로,회산동 106-5,16975.677419354837,37.73909,128.86613,addr,place/quarter,False
81,홍제교,회산동 4-8,15775.645161290322,37.7451362,128.8781043,name,man_made/bridge,True
85,내곡교사거리,내곡동 51-11,21058.55172413793,37.7466865,128.8877792,name,highway/traffic_signals,True
86,남산교사거리,노암동 826-9,27242.172413793105,37.7490007,128.89667,name,highway/traffic_signals,True
89,강릉교사거리,노암동 265-2,41998.903225806454,37.74274,128.91168,addr,place/quarter,False
900,삼일운동기념탑삼거리,저동 140-2,8030.322580645161,37.80453,128.88806,addr,place/quarter,False
902,강릉통일공원앞,강동면 안인진리 산46-13,1924.5483870967741,,,,,False
903,경포인공폭포삼거리,안현동 48-7,15051.129032258064,37.8066405,128.8882536,addr,place/quarter,False
904,대전육교북단,대전동 497-3,5510.612903225807,37.7919,128.85411,addr,place/quarter,False
905,순긋해변입구,안현동 산71-4,6216.129032258064,,,,,False
906,유천교북단,유천동 576,8687.774193548386,37.76941,128.86398,addr,place/quarter,False
907,안인삼거리,강동면 안인진리 13-34,1591.967741935484,37.72794,128.980381,name,highway/bus_stop,True
910,샌드파인GC입구삼거리,안현동 699-6,8251.935483870968,37.8066405,128.8882536,addr,place/quarter,False
92,강원영동병무지청앞,노암동 224-6,13132.225806451614,37.74274,128.91168,addr,place/quarter,False
94,입암주공1단지(구_908),입암동 639-81,31353.677419354837,,,,,False
95,입암지하차로,입암동 629-81,23192.74193548387,37.7541723,128.9213379,addr,place/quarter,False
99,강릉중앙고앞삼거리,입암동 570-3,19281.172413793105,37.7541723,128.9213379,addr,place/quarter,False
