point_id,dsi_refined,dsi_veh,road_occluded_frac,road_occluded_frac_veh,veh_blocked_fwd,veh_blocked_bwd,road_domain_m2,valid,sight_flag,sight_flag_veh,confidence,veh_extra_occ,dsi_veh_delta
10000,1.1792,1.3078,0.0254,0.1372,0.098,0.317,756.0,True,False,False,2,0.11179999999999998,0.12860000000000005
10002,1.1562,1.2439,0.0054,0.0817,0.293,0.317,756.2,True,False,False,1,0.07629999999999999,0.08770000000000011
10004,1.1549,1.2363,0.0043,0.075,0.049,0.098,756.2,True,False,False,2,0.0707,0.08139999999999992
10007,1.1583,1.258,0.0072,0.0939,0.049,0.098,756.2,True,False,False,1,0.0867,0.0996999999999999
10008,1.15,1.3078,0.0,0.1372,0.317,0.049,756.0,True,False,False,2,0.1372,0.15780000000000016
10010,1.15,1.301,0.0,0.1313,0.439,0.268,756.0,True,False,False,2,0.1313,0.15100000000000002
10012,1.1561,1.2983,0.0053,0.129,0.463,0.171,756.0,True,False,False,1,0.1237,0.1422000000000001
10015,1.1581,1.3871,0.007,0.2062,0.39,0.39,756.5,True,False,False,1,0.1992,0.2290000000000001
10016,1.1544,1.4002,0.0038,0.2176,0.341,0.244,756.0,True,False,False,0,0.2138,0.2457999999999998
10018,1.1505,1.4906,0.0005,0.2962,0.244,0.634,756.2,True,False,False,2,0.2957,0.34009999999999985
10020,1.1513,1.3515,0.0012,0.1752,0.268,0.341,786.2,True,False,False,2,0.174,0.20019999999999993
10021,1.3189,1.4892,0.1468,0.295,0.341,0.122,966.2,True,False,False,2,0.14819999999999997,0.17030000000000012
10023,1.6851,1.7902,0.4653,0.5567,0.683,0.22,1361.2,True,False,False,2,0.09139999999999998,0.10509999999999997
10025,1.6168,1.7739,0.4059,0.5426,0.317,0.073,1600.8,True,False,False,2,0.1367,0.15710000000000002
10028,1.5607,1.6266,0.3571,0.4144,0.488,0.0,2094.5,True,False,False,2,0.05730000000000002,0.06590000000000007
1002,1.5402,1.6487,0.3393,0.4336,0.317,0.22,1213.0,True,False,False,1,0.0943,0.10850000000000004
10030,1.516,1.6806,0.3183,0.4614,0.195,0.22,1800.5,True,False,False,1,0.14309999999999995,0.16460000000000008
10031,1.5999,1.7403,0.3912,0.5133,0.0,0.122,1454.8,True,False,False,2,0.12209999999999999,0.14039999999999986
10033,1.4674,1.6558,0.276,0.4398,0.195,0.341,1268.8,True,False,False,2,0.1638,0.1883999999999999
10036,1.207,1.4623,0.0496,0.2716,0.195,0.244,1171.0,True,False,False,0,0.222,0.25529999999999986
10037,1.1724,1.4187,0.0195,0.2336,0.195,0.366,1150.2,True,False,False,0,0.2141,0.24629999999999996
10039,1.4331,1.6004,0.2462,0.3917,0.0,0.293,1185.2,True,False,False,2,0.1455,0.1673
10042,1.4707,1.574,0.2789,0.3687,0.146,0.22,1084.2,True,False,False,2,0.08980000000000005,0.10330000000000017
10043,1.2532,1.3854,0.0897,0.2047,0.561,0.341,1011.2,True,False,False,0,0.11499999999999999,0.13219999999999987
10045,1.15,1.3112,0.0,0.1402,0.171,0.756,884.8,True,True,True,0,0.1402,0.1612
10051,1.3715,1.6589,0.1926,0.4425,0.0,0.195,1161.5,True,False,False,2,0.2499,0.2874000000000001
10053,1.5687,1.7045,0.3641,0.4822,0.073,0.366,1100.2,True,False,False,1,0.11810000000000004,0.13579999999999992
10055,1.5844,1.6736,0.3778,0.4553,0.195,0.366,1007.0,True,False,False,1,0.07749999999999996,0.08919999999999995
10058,1.364,1.5125,0.1861,0.3152,0.415,0.098,835.2,True,False,False,2,0.1291,0.14849999999999985
1005,1.4455,1.5301,0.2569,0.3305,0.049,0.244,1070.2,True,False,False,2,0.0736,0.08460000000000001
10060,1.15,1.3001,0.0,0.1305,0.024,0.0,756.8,True,False,False,1,0.1305,0.15010000000000012
10061,1.1545,1.2408,0.0039,0.079,0.268,0.22,756.5,True,False,False,1,0.0751,0.08629999999999982
10063,1.1631,1.2773,0.0114,0.1107,0.0,0.341,756.5,True,False,False,2,0.0993,0.11420000000000008
10065,1.157,1.2439,0.0061,0.0817,0.0,0.0,756.2,True,False,False,2,0.0756,0.08689999999999998
10068,1.1564,1.2765,0.0055,0.11,0.22,0.0,756.8,True,False,False,2,0.1045,0.12009999999999987
10069,1.1613,1.3389,0.0098,0.1642,0.293,0.317,756.5,True,False,False,2,0.1544,0.17759999999999998
1006,1.1981,1.3867,0.0419,0.2059,0.049,0.317,886.5,True,False,False,1,0.164,0.1886000000000001
10071,1.1504,1.2732,0.0004,0.1071,0.293,0.195,756.2,True,False,False,2,0.1067,0.12280000000000002
10073,1.15,1.2488,0.0,0.0859,0.0,0.171,756.8,True,False,False,1,0.0859,0.0988
10076,1.15,1.288,0.0,0.12,0.122,0.122,756.5,True,False,False,1,0.12,0.13800000000000012
10077,1.15,1.2519,0.0,0.0886,0.122,0.049,756.2,True,False,False,1,0.0886,0.1019000000000001
10079,1.1594,1.2376,0.0081,0.0762,0.098,0.22,758.2,True,False,False,1,0.06810000000000001,0.07820000000000005
10082,1.1915,1.4163,0.0361,0.2316,0.244,0.341,850.8,True,False,False,1,0.1955,0.2247999999999999
10083,1.3864,1.6383,0.2056,0.4246,0.488,0.195,1098.0,True,False,False,2,0.21899999999999997,0.2519
10086,1.6153,1.7045,0.4046,0.4821,0.0,0.0,1253.2,True,False,False,2,0.07749999999999996,0.08919999999999995
10087,1.2659,1.4938,0.1008,0.299,0.39,0.341,1294.5,True,False,False,2,0.1982,0.2279
10088,1.1754,1.3505,0.0221,0.1743,0.122,0.244,1329.2,True,False,False,2,0.1522,0.17510000000000003
1008,1.1635,1.3288,0.0117,0.1555,0.22,0.244,775.0,True,False,False,2,0.1438,0.1653
10091,1.3135,1.6871,0.1422,0.4671,0.561,0.488,1225.8,True,False,False,2,0.3249,0.37360000000000015
