"사고다발지fid","사고다발지id","법정동코드","지점코드","시도시군구명","지점명","사고건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
6467416,"2018074","1111017400","11110001  ",서울특별시 종로구1,서울특별시 종로구 창신동(동대문로터리 인근),42,69,1,12,48,8,127.009055161168,37.571347788071,"{""type"":""Polygon"",""coordinates"":[[[127.01040263,37.57134779],[127.01037674,37.57113943],[127.01030006,37.57093908],[127.01017554,37.57075444],[127.01000797,37.57059259],[127.00980378,37.57045977],[127.00957082,37.57036108],[127.00931804,37.5703003],[127.00905516,37.57027978],[127.00879228,37.5703003],[127.00853951,37.57036108],[127.00830655,37.57045977],[127.00810235,37.57059259],[127.00793478,37.57075444],[127.00781026,37.57093908],[127.00773358,37.57113943],[127.00770769,37.57134779],[127.00773358,37.57155614],[127.00781026,37.57175649],[127.00793478,37.57194113],[127.00810235,37.57210297],[127.00830655,37.57223579],[127.00853951,37.57233448],[127.00879228,37.57239526],[127.00905516,37.57241578],[127.00931804,37.57239526],[127.00957082,37.57233448],[127.00980378,37.57223579],[127.01000797,37.57210297],[127.01017554,37.57194113],[127.01030006,37.57175649],[127.01037674,37.57155614],[127.01040263,37.57134779]]]}"
6467417,"2018074","1111013800","11110002  ",서울특별시 종로구2,서울특별시 종로구 종로2가(종로1가일반국도6호선 인근),39,49,0,14,30,5,126.983709485206,37.570168284939,"{""type"":""Polygon"",""coordinates"":[[[126.98505696,37.57016828],[126.98503107,37.56995992],[126.98495439,37.56975957],[126.98482987,37.56957492],[126.98466229,37.56941308],[126.9844581,37.56928026],[126.98422514,37.56918156],[126.98397236,37.56912078],[126.98370949,37.56910026],[126.98344661,37.56912078],[126.98319383,37.56918156],[126.98296087,37.56928026],[126.98275668,37.56941308],[126.9825891,37.56957492],[126.98246458,37.56975957],[126.9823879,37.56995992],[126.98236201,37.57016828],[126.9823879,37.57037664],[126.98246458,37.570577],[126.9825891,37.57076164],[126.98275668,37.57092348],[126.98296087,37.5710563],[126.98319383,37.571155],[126.98344661,37.57121577],[126.98370949,37.57123629],[126.98397236,37.57121577],[126.98422514,37.571155],[126.9844581,37.5710563],[126.98466229,37.57092348],[126.98482987,37.57076164],[126.98495439,37.570577],[126.98503107,37.57037664],[126.98505696,37.57016828]]]}"
6467418,"2018074","1111016100","11110003  ",서울특별시 종로구3,서울특별시 종로구 종로4가(종로4가배오개길진입 인근),38,56,0,19,30,7,126.997751082348,37.570219215345,"{""type"":""Polygon"",""coordinates"":[[[126.99909856,37.57021922],[126.99907266,37.57001086],[126.99899599,37.5698105],[126.99887147,37.56962586],[126.99870389,37.56946401],[126.9984997,37.56933119],[126.99826674,37.56923249],[126.99801396,37.56917171],[126.99775108,37.56915119],[126.9974882,37.56917171],[126.99723543,37.56923249],[126.99700247,37.56933119],[126.99679828,37.56946401],[126.9966307,37.56962586],[126.99650618,37.5698105],[126.9964295,37.57001086],[126.99640361,37.57021922],[126.9964295,37.57042757],[126.99650618,37.57062793],[126.9966307,37.57081257],[126.99679828,37.57097441],[126.99700247,37.57110723],[126.99723543,37.57120593],[126.9974882,37.5712667],[126.99775108,37.57128722],[126.99801396,37.5712667],[126.99826674,37.57120593],[126.9984997,37.57110723],[126.99870389,37.57097441],[126.99887147,37.57081257],[126.99899599,37.57062793],[126.99907266,37.57042757],[126.99909856,37.57021922]]]}"
6467419,"2018074","1114016700","11140001  ",서울특별시 중구1,서울특별시 중구 정동(우성빌딩 인근),46,63,0,6,40,17,126.977794754725,37.563850806570,"{""type"":""Polygon"",""coordinates"":[[[126.97914223,37.56385081],[126.97911634,37.56364243],[126.97903966,37.56344206],[126.97891514,37.5632574],[126.97874756,37.56309554],[126.97854337,37.5629627],[126.97831041,37.562864],[126.97805763,37.56280322],[126.97779475,37.56278269],[126.97753188,37.56280322],[126.9772791,37.562864],[126.97704614,37.5629627],[126.97684195,37.56309554],[126.97667437,37.5632574],[126.97654985,37.56344206],[126.97647317,37.56364243],[126.97644728,37.56385081],[126.97647317,37.56405918],[126.97654985,37.56425955],[126.97667437,37.56444421],[126.97684195,37.56460607],[126.97704614,37.5647389],[126.9772791,37.5648376],[126.97753188,37.56489838],[126.97779475,37.56491891],[126.97805763,37.56489838],[126.97831041,37.5648376],[126.97854337,37.5647389],[126.97874756,37.56460607],[126.97891514,37.56444421],[126.97903966,37.56425955],[126.97911634,37.56405918],[126.97914223,37.56385081]]]}"
6467420,"2018074","1114012000","11140002  ",서울특별시 중구2,서울특별시 중구 봉래동2가(서울역사거리 인근),45,67,0,12,54,1,126.972624158379,37.557050808649,"{""type"":""Polygon"",""coordinates"":[[[126.97397163,37.55705081],[126.97394574,37.55684241],[126.97386906,37.55664202],[126.97374454,37.55645734],[126.97357697,37.55629547],[126.97337277,37.55616262],[126.97313981,37.55606391],[126.97288704,37.55600312],[126.97262416,37.5559826],[126.97236128,37.55600312],[126.9721085,37.55606391],[126.97187554,37.55616262],[126.97167135,37.55629547],[126.97150378,37.55645734],[126.97137926,37.55664202],[126.97130258,37.55684241],[126.97127669,37.55705081],[126.97130258,37.5572592],[126.97137926,37.55745959],[126.97150378,37.55764427],[126.97167135,37.55780614],[126.97187554,37.55793898],[126.9721085,37.55803769],[126.97236128,37.55809848],[126.97262416,37.55811901],[126.97288704,37.55809848],[126.97313981,37.55803769],[126.97337277,37.55793898],[126.97357697,37.55780614],[126.97374454,37.55764427],[126.97386906,37.55745959],[126.97394574,37.5572592],[126.97397163,37.55705081]]]}"
6467421,"2018074","1114012700","11140003  ",서울특별시 중구3,서울특별시 중구 명동2가(회현사거리반포로북창 인근),43,58,0,11,44,3,126.981668627606,37.560909720408,"{""type"":""Polygon"",""coordinates"":[[[126.9830161,37.56090972],[126.98299021,37.56070133],[126.98291353,37.56050096],[126.98278901,37.56031629],[126.98262143,37.56015442],[126.98241724,37.56002158],[126.98218428,37.55992287],[126.98193151,37.55986209],[126.98166863,37.55984156],[126.98140575,37.55986209],[126.98115297,37.55992287],[126.98092001,37.56002158],[126.98071582,37.56015442],[126.98054824,37.56031629],[126.98042372,37.56050096],[126.98034705,37.56070133],[126.98032115,37.56090972],[126.98034705,37.56111811],[126.98042372,37.56131848],[126.98054824,37.56150315],[126.98071582,37.56166501],[126.98092001,37.56179785],[126.98115297,37.56189656],[126.98140575,37.56195734],[126.98166863,37.56197786],[126.98193151,37.56195734],[126.98218428,37.56189656],[126.98241724,37.56179785],[126.98262143,37.56166501],[126.98278901,37.56150315],[126.98291353,37.56131848],[126.98299021,37.56111811],[126.9830161,37.56090972]]]}"
6467422,"2018074","1117013300","11170001  ",서울특별시 용산구1,서울특별시 용산구 서빙고동(이태원소방파출소 인근),47,61,0,9,47,5,126.995591204871,37.534613282078,"{""type"":""Polygon"",""coordinates"":[[[126.99693868,37.53461328],[126.99691279,37.53440482],[126.99683611,37.53420437],[126.99671159,37.53401964],[126.99654401,37.53385772],[126.99633982,37.53372483],[126.99610686,37.53362609],[126.99585408,37.53356528],[126.9955912,37.53354475],[126.99532833,37.53356528],[126.99507555,37.53362609],[126.99484259,37.53372483],[126.9946384,37.53385772],[126.99447082,37.53401964],[126.9943463,37.53420437],[126.99426962,37.53440482],[126.99424373,37.53461328],[126.99426962,37.53482174],[126.9943463,37.53502219],[126.99447082,37.53520692],[126.9946384,37.53536884],[126.99484259,37.53550172],[126.99507555,37.53560047],[126.99532833,37.53566127],[126.9955912,37.5356818],[126.99585408,37.53566127],[126.99610686,37.53560047],[126.99633982,37.53550172],[126.99654401,37.53536884],[126.99671159,37.53520692],[126.99683611,37.53502219],[126.99691279,37.53482174],[126.99693868,37.53461328]]]}"
6467423,"2018074","1117013500","11170002  ",서울특별시 용산구2,서울특별시 용산구 용산동6가(하나은행한남동지점 인근),41,60,0,16,44,0,127.007338741191,37.533240699899,"{""type"":""Polygon"",""coordinates"":[[[127.00868621,37.5332407],[127.00866032,37.53303224],[127.00858364,37.53283178],[127.00845912,37.53264705],[127.00829155,37.53248512],[127.00808736,37.53235223],[127.0078544,37.53225349],[127.00760162,37.53219268],[127.00733874,37.53217215],[127.00707586,37.53219268],[127.00682309,37.53225349],[127.00659013,37.53235223],[127.00638593,37.53248512],[127.00621836,37.53264705],[127.00609384,37.53283178],[127.00601716,37.53303224],[127.00599127,37.5332407],[127.00601716,37.53344916],[127.00609384,37.53364961],[127.00621836,37.53383435],[127.00638593,37.53399627],[127.00659013,37.53412916],[127.00682309,37.5342279],[127.00707586,37.53428871],[127.00733874,37.53430924],[127.00760162,37.53428871],[127.0078544,37.5342279],[127.00808736,37.53412916],[127.00829155,37.53399627],[127.00845912,37.53383435],[127.00858364,37.53364961],[127.00866032,37.53344916],[127.00868621,37.5332407]]]}"
6467424,"2018074","1117013300","11170003  ",서울특별시 용산구3,서울특별시 용산구 서빙고동(한강대교북단 인근),33,42,1,8,33,0,126.961820270790,37.522399234138,"{""type"":""Polygon"",""coordinates"":[[[126.96316774,37.52239923],[126.96314185,37.52219074],[126.96306517,37.52199026],[126.96294065,37.52180549],[126.96277308,37.52164354],[126.96256889,37.52151064],[126.96233593,37.52141188],[126.96208315,37.52135106],[126.96182027,37.52133053],[126.96155739,37.52135106],[126.96130462,37.52141188],[126.96107165,37.52151064],[126.96086746,37.52164354],[126.96069989,37.52180549],[126.96057537,37.52199026],[126.96049869,37.52219074],[126.9604728,37.52239923],[126.96049869,37.52260773],[126.96057537,37.52280821],[126.96069989,37.52299297],[126.96086746,37.52315492],[126.96107165,37.52328782],[126.96130462,37.52338658],[126.96155739,37.52344739],[126.96182027,37.52346793],[126.96208315,37.52344739],[126.96233593,37.52338658],[126.96256889,37.52328782],[126.96277308,37.52315492],[126.96294065,37.52299297],[126.96306517,37.52280821],[126.96314185,37.52260773],[126.96316774,37.52239923]]]}"
6467425,"2018074","1120010700","11200001  ",서울특별시 성동구1,서울특별시 성동구 행당동(고산자로왕십리로진입 인근),31,47,0,6,31,10,127.035092495823,37.561539531825,"{""type"":""Polygon"",""coordinates"":[[[127.03643997,37.56153953],[127.03641408,37.56133115],[127.0363374,37.56113077],[127.03621288,37.5609461],[127.0360453,37.56078424],[127.03584111,37.5606514],[127.03560815,37.56055269],[127.03535537,37.56049191],[127.0350925,37.56047138],[127.03482962,37.56049191],[127.03457684,37.56055269],[127.03434388,37.5606514],[127.03413969,37.56078424],[127.03397211,37.5609461],[127.03384759,37.56113077],[127.03377091,37.56133115],[127.03374502,37.56153953],[127.03377091,37.56174792],[127.03384759,37.56194829],[127.03397211,37.56213296],[127.03413969,37.56229482],[127.03434388,37.56242765],[127.03457684,37.56252636],[127.03482962,37.56258714],[127.0350925,37.56260766],[127.03535537,37.56258714],[127.03560815,37.56252636],[127.03584111,37.56242765],[127.0360453,37.56229482],[127.03621288,37.56213296],[127.0363374,37.56194829],[127.03641408,37.56174792],[127.03643997,37.56153953]]]}"
