sttn_id,sttn_nm,longitude,latitude,coordinate_source,coordinate_retrieved_at,bis_api_name,in_analysis_bbox,annual_2025_ride_nope,annual_2025_goff_nope,annual_record_present,danoje_start,danoje_end,danoje_ride_nope,danoje_goff_nope,danoje_days_with_record,danoje_days_supplied
4201421,(구)월호평동사무소,128.93612294474602,37.73542207247549,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,(구)월호평동사무소,True,,,False,2025-05-27,2025-06-03,,,0,8
4200106,KT,128.91181164590185,37.77275858732733,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,KT,True,89366,8297,True,2025-05-27,2025-06-03,3007,151,8,8
4200107,KT,128.9125052185983,37.77309475265464,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,KT,True,21908,24618,True,2025-05-27,2025-06-03,473,760,8,8
4200797,KTX공영주차장환승장,128.8967850727094,37.762190942376556,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,KTX공영주차장환승장,True,2442,1636,True,2025-05-27,2025-06-03,61,31,8,8
4200547,e-편한세상아파트,128.895218937497,37.769600465674785,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,e-편한세상아파트,True,1920,1871,True,2025-05-27,2025-06-03,48,59,8,8
4200546,e-편한세상아파트,128.89508217030252,37.76981271024109,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,e-편한세상아파트,True,7600,2103,True,2025-05-27,2025-06-03,241,52,8,8
4200368,가둔지유적,128.882327030694,37.82527019767428,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,가둔지유적,False,183,158,True,2025-05-27,2025-06-03,3,0,2,8
4200369,가둔지유적,128.882153019297,37.82520493756786,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,가둔지유적,False,292,75,True,2025-05-27,2025-06-03,6,6,5,8
4200969,가마골,128.79478117549075,37.72231567644804,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,가마골,False,718,74,True,2025-05-27,2025-06-03,21,3,8,8
4200533,가마골,128.79546755385968,37.722099902068294,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,가마골,False,399,285,True,2025-05-27,2025-06-03,6,4,5,8
4201327,가사골,128.95364127595002,37.572947377645065,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,가사골,False,4,0,True,2025-05-27,2025-06-03,,,0,8
4201326,가사골,128.95366508671376,37.57302501168563,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,가사골,False,7,0,True,2025-05-27,2025-06-03,,,0,8
4201376,가작다리입구,128.8944549231389,37.76589747732919,https://bis.gn.go.kr/search/station,2026-09-25T06:03:45.938750+00:00,가작다리입구,True,639,975,True,2025-05-27,2025-06-03,30,29,8,8
