year,route_id,route_name_current,company_name_current,route_in_current_bis,identified_stop_count,ride_total,goff_total,unknown_stop_ride,unknown_stop_goff,top_ride_stop_ids,top_ride_stop_names,top_ride_count_each,top_goff_stop_ids,top_goff_stop_names,top_goff_count_each
2025,25517001,,,False,1,2644,40,0,0,1102393,(name unavailable),2644,1102393,(name unavailable),40
2025,42001001,200,강릉-동진버스,True,65,217406,100051,0,0,4200252,신영극장,32009,4200252,신영극장,19400
2025,42001002,202,강릉-동진버스,True,43,206561,118056,3,0,4200253,교보생명,37886,4200253,교보생명,24277
2025,42001003,206,강릉-동진버스,True,63,319394,154993,3,0,4200253,교보생명,44044,4200252,신영극장,27160
2025,42001004,207,강릉-동진버스,True,70,169524,86854,0,0,4200253,교보생명,20606,4200252,신영극장,14809
2025,42001005,300,강릉-동진버스,True,56,481711,240347,2,0,4200253,교보생명,119961,4200253,교보생명,40612
2025,42001007,302,강릉-동진버스,True,70,97411,44756,1,0,4200253,교보생명,15904,4200253,교보생명,5637
2025,42001012,315,강릉-동진버스,True,105,30826,12572,0,0,4200063,가톨릭관동대학교,2840,4200229,즈므.과학단지,876
2025,42002001,101,강릉-동진버스,True,68,42459,21180,1,0,4201199,남대천.강릉교,8996,4201198,남대천.강릉교,5809
2025,42002003,103,강릉-동진버스,True,60,42837,15586,1,0,4201199,남대천.강릉교,12958,4201198,남대천.강릉교,4892
2025,42002004,104,강릉-동진버스,True,76,14045,7077,0,0,4200359,하나로마트내곡점,3233,4200252,신영극장,3240
2025,42002005,104-1,강릉-동진버스,True,81,41674,19046,0,0,4200253,교보생명,7283,4200253,교보생명,4598
2025,42002006,104-2,강릉-동진버스,True,82,44954,17293,0,0,4200253,교보생명,8634,4200252,신영극장,4484
2025,42002010,110,강릉-동진버스,True,20,33090,11948,0,0,4202022,옥계현내시장,11166,4201198,남대천.강릉교,4309
2025,42002013,112,강릉-동진버스,True,70,74812,39372,0,0,4201199,남대천.강릉교,21158,4201198,남대천.강릉교,12122
2025,42002014,113,강릉-동진버스,True,64,75564,39319,0,0,4201199,남대천.강릉교,17586,4200253,교보생명,9122
2025,42002026,205,강릉-동진버스,True,27,4954,1393,0,0,4200356,강원대학교,969,4200252,신영극장,683
2025,42002030,211,강릉-동진버스,True,60,36366,15003,0,0,4200252,신영극장,4866,4200252,신영극장,4158
2025,42002035,222,강릉-동진버스,True,54,154774,74961,5,0,4200063,가톨릭관동대학교,23935,4200252,신영극장,16642
2025,42002036,223,강릉-동진버스,True,29,257034,119746,2,0,4200253,교보생명,63852,4200253,교보생명,33164
2025,42002037,224,강릉-동진버스,True,67,8095,984,0,0,4200288,경포고교,1194,4200054,삼익아파트,244
