year,route_id,route_name_current,company_name_current,route_in_current_bis,identified_stop_count,ride_total,goff_total,unknown_stop_ride,unknown_stop_goff,top_ride_stop_ids,top_ride_stop_names,top_ride_count_each,top_goff_stop_ids,top_goff_stop_names,top_goff_count_each,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42001001,200,강릉-동진버스,True,63,6294,2863,0,0,4200252,신영극장,996,4200252,신영극장,568,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001002,202,강릉-동진버스,True,43,5646,3411,0,0,4200253,교보생명,1031,4200253,교보생명,696,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001003,206,강릉-동진버스,True,62,9193,4336,0,0,4200253,교보생명,1245,4200252,신영극장,786,2025-05-27,2025-06-03,8,강릉고등학교-강릉고정문,8
2025,42001004,207,강릉-동진버스,True,69,4960,2540,0,0,4200253,교보생명,588,4200252,신영극장,479,2025-05-27,2025-06-03,8,허균.허난설헌기-허균.허난설헌기,8
2025,42001005,300,강릉-동진버스,True,55,13094,6333,0,0,4200253,교보생명,3856,4200253,교보생명,1103,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001007,302,강릉-동진버스,True,67,2251,1040,0,0,4200253,교보생명,425,4200253,교보생명,129,2025-05-27,2025-06-03,8,공단-향호리,8
2025,42001012,315,강릉-동진버스,True,85,663,268,0,0,4200063,가톨릭관동대학교,61,4200229,즈므.과학단지,29,2025-05-27,2025-06-03,8,가톨릭관동대학교-가톨릭관동대학교,5
2025,42002001,101,강릉-동진버스,True,67,1277,609,0,0,4201199,남대천.강릉교,290,4201198,남대천.강릉교,202,2025-05-27,2025-06-03,8,공단-공단,8
2025,42002003,103,강릉-동진버스,True,57,1241,449,0,0,4201199,남대천.강릉교,387,4201198,남대천.강릉교,146,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002004,104,강릉-동진버스,True,50,349,170,0,0,4200359,하나로마트내곡점,74,4200252,신영극장,76,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002005,104-1,강릉-동진버스,True,75,1244,521,0,0,4200253,교보생명,200,4200253,교보생명,144,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002006,104-2,강릉-동진버스,True,74,1194,481,0,0,4200253,교보생명,192,4200252,신영극장,107,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42002010,110,강릉-동진버스,True,20,1085,297,0,0,4202022,옥계현내시장,424,4201198,남대천.강릉교,116,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
2025,42002013,112,강릉-동진버스,True,67,2139,1148,0,0,4201199,남대천.강릉교,573,4201198,남대천.강릉교,366,2025-05-27,2025-06-03,8,차고지대기(미정-차고지대기(미정,8
2025,42002014,113,강릉-동진버스,True,63,2152,1113,0,0,4201199,남대천.강릉교,522,4200253,교보생명,211,2025-05-27,2025-06-03,8,강릉역건너편-강릉역,8
