year,route_id,route_name_current,company_name_current,route_in_current_bis,sttn_id,sttn_nm,name_source,stop_in_current_bis_inventory,stop_on_current_route,current_station_orders,source_2025_station_sequences,longitude,latitude,ride_nope,goff_nope,ride_rank,goff_rank,ride_share_pct,goff_share_pct
2025,25517001,,,False,1102393,,unavailable,False,False,,0,,,2644,40,1,1,100.0,100.0
2025,42001001,200,강릉-동진버스,True,4200042,롯데캐슬아파트,BIS inventory,True,True,43,40 | 41,128.89120929799194,37.766948306391974,4940,1063,9,26,2.272246,1.062458
2025,42001001,200,강릉-동진버스,True,4200051,송정래미안,BIS inventory,True,True,62,58 | 60,128.93021609974548,37.78282723196739,47,240,63,50,0.021619,0.239878
2025,42001001,200,강릉-동진버스,True,4200052,송정래미안,BIS inventory,True,True,6,4,128.93038982126572,37.78292573478735,382,29,54,65,0.175708,0.028985
2025,42001001,200,강릉-동진버스,True,4200053,오성학교,BIS inventory,True,True,5,3,128.93312248716418,37.77978287851338,1774,30,32,63,0.815985,0.029985
2025,42001001,200,강릉-동진버스,True,4200054,삼익아파트,BIS inventory,True,True,63,59 | 61,128.93336344346523,37.7794509217129,75,926,61,30,0.034498,0.925528
2025,42001001,200,강릉-동진버스,True,4200055,해당화연립,BIS inventory,True,True,4,2,128.93501598562065,37.778964657496246,1859,45,31,61,0.855082,0.044977
2025,42001001,200,강릉-동진버스,True,4200056,해당화연립,BIS inventory,True,True,64,60 | 62,128.9356053065312,37.7785328972295,117,636,59,36,0.053816,0.635676
2025,42001001,200,강릉-동진버스,True,4200086,강원대학교후문,BIS inventory,True,True,34,31 | 32,128.8748802531449,37.77322772576275,36,2905,65,7,0.016559,2.903519
2025,42001001,200,강릉-동진버스,True,4200087,강원대학교후문,BIS inventory,True,True,36,33 | 34,128.87498639848286,37.77315204059329,12220,47,5,60,5.62082,0.046976
2025,42001001,200,강릉-동진버스,True,4200088,문성고등학교,BIS inventory,True,True,37,34 | 35,128.8747975765768,37.776789915738114,12452,77,4,56,5.727533,0.076961
2025,42001001,200,강릉-동진버스,True,4200089,문성고등학교,BIS inventory,True,True,33,30 | 31,128.87460137001867,37.776791669303456,220,2139,57,11,0.101193,2.13791
2025,42001001,200,강릉-동진버스,True,4200090,한옥마을,BIS inventory,True,True,38,35 | 36,128.8775249835254,37.777067812459386,592,63,48,59,0.272302,0.062968
2025,42001001,200,강릉-동진버스,True,4200091,한옥마을,BIS inventory,True,True,32,29 | 30,128.877399547533,37.77711052551884,41,645,64,35,0.018859,0.644671
2025,42001001,200,강릉-동진버스,True,4200092,오죽헌,BIS inventory,True,True,39,36 | 37,128.8797380363922,37.77879711032111,1542,346,35,46,0.709272,0.345824
2025,42001001,200,강릉-동진버스,True,4200093,오죽헌,BIS inventory,True,True,31,28 | 29,128.88009218006442,37.77900408798861,89,985,60,29,0.040937,0.984498
2025,42001001,200,강릉-동진버스,True,4200094,강릉여고,BIS inventory,True,True,48,45 | 46,128.90248424479844,37.75904463050879,4015,1164,11,23,1.846775,1.163407
2025,42001001,200,강릉-동진버스,True,4200095,한국자산관리공사,BIS inventory,True,True,21,18 | 19,128.90111921880606,37.75827929877246,3280,1244,20,22,1.508698,1.243366
2025,42001001,200,강릉-동진버스,True,4200101,강릉고입구,BIS inventory,True,True,9,6 | 7,128.92013482012848,37.783607089094346,3597,302,14,49,1.654508,0.301846
2025,42001001,200,강릉-동진버스,True,4200102,강릉고입구,BIS inventory,True,True,59,56 | 57,128.92044843215433,37.78352944320342,711,1496,45,16,0.327038,1.495237
2025,42001001,200,강릉-동진버스,True,4200103,경포고교,BIS inventory,True,True,58,55 | 56,128.9190546436117,37.78057981084284,480,703,52,34,0.220785,0.702642
2025,42001001,200,강릉-동진버스,True,4200104,동명중학교,BIS inventory,True,True,12,10 | 9,128.91637238303827,37.777185998905715,1337,75,38,58,0.614978,0.074962
2025,42001001,200,강릉-동진버스,True,4200105,동명중학교,BIS inventory,True,True,56,53 | 54,128.9161008666347,37.77658681943468,784,429,44,42,0.360616,0.428781
2025,42001001,200,강릉-동진버스,True,4200106,KT,BIS inventory,True,True,14,11 | 12,128.91181164590185,37.77275858732733,6393,823,8,31,2.940581,0.82258
2025,42001001,200,강릉-동진버스,True,4200107,KT,BIS inventory,True,True,54,51 | 52,128.9125052185983,37.77309475265464,2586,3402,22,6,1.18948,3.400266
2025,42001001,200,강릉-동진버스,True,4200108,동인병원입구,BIS inventory,True,True,15,12 | 13,128.90953558421478,37.77125258486367,3549,308,15,48,1.63243,0.307843
2025,42001001,200,강릉-동진버스,True,4200109,동인병원입구,BIS inventory,True,True,53,50 | 51,128.9094857690125,37.77102450992961,661,2106,46,12,0.304039,2.104926
2025,42001001,200,강릉-동진버스,True,4200110,하슬라중,BIS inventory,True,True,16,13 | 14,128.90715554439282,37.77053362559672,2529,340,23,47,1.163261,0.339827
2025,42001001,200,강릉-동진버스,True,4200111,하슬라중,BIS inventory,True,True,52,49 | 50,128.90761293140218,37.77043125987649,1871,1117,30,25,0.860602,1.116431
2025,42001001,200,강릉-동진버스,True,4200112,강릉관광개발공사,BIS inventory,True,True,17,14 | 15,128.9085231695166,37.76800046518587,1243,611,40,37,0.571741,0.610689
2025,42001001,200,강릉-동진버스,True,4200113,강릉관광개발공사,BIS inventory,True,True,51,48 | 49,128.90865897771857,37.76820323697218,510,1290,51,20,0.234584,1.289342
2025,42001001,200,강릉-동진버스,True,4200240,젤마을,BIS inventory,True,True,41,38 | 39,128.887733025105,37.775438249928285,1254,431,39,41,0.576801,0.43078
2025,42001001,200,강릉-동진버스,True,4200241,우성공업사,BIS inventory,True,True,29,26 | 27,128.8881180126791,37.77538642162077,535,380,50,44,0.246083,0.379806
2025,42001001,200,강릉-동진버스,True,4200242,율곡중학교,BIS inventory,True,True,42,39 | 40,128.89021344037266,37.771874448370795,2102,348,27,45,0.966855,0.347823
2025,42001001,200,강릉-동진버스,True,4200243,율곡중학교,BIS inventory,True,True,28,25 | 26,128.89033943348878,37.77216892177817,615,521,47,39,0.282881,0.520734
2025,42001001,200,강릉-동진버스,True,4200245,이명사거리,BIS inventory,True,True,44,41 | 42,128.89157918705828,37.764565078717,8179,604,7,38,3.762086,0.603692
