year,route_id,route_name_current,company_name_current,route_in_current_bis,sttn_id,sttn_nm,name_source,stop_in_current_bis_inventory,stop_on_current_route,current_station_orders,source_2025_station_sequences,longitude,latitude,ride_nope,goff_nope,ride_rank,goff_rank,ride_share_pct,goff_share_pct,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42001001,200,강릉-동진버스,True,4200042,롯데캐슬아파트,BIS inventory,True,True,43,40,128.89120929799194,37.766948306391974,173,39,9,15,2.74865,1.362207,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200051,송정래미안,BIS inventory,True,True,62,58,128.93021609974548,37.78282723196739,1,8,61,45,0.015888,0.279427,2025-05-27,2025-06-03,8,안목-안목커피거리,5
2025,42001001,200,강릉-동진버스,True,4200052,송정래미안,BIS inventory,True,True,6,4,128.93038982126572,37.78292573478735,10,0,51,,0.158881,0.0,2025-05-27,2025-06-03,8,안목-안목커피거리,4
2025,42001001,200,강릉-동진버스,True,4200053,오성학교,BIS inventory,True,True,5,3,128.93312248716418,37.77978287851338,47,1,33,56,0.746743,0.034928,2025-05-27,2025-06-03,8,안목-안목커피거리,6
2025,42001001,200,강릉-동진버스,True,4200054,삼익아파트,BIS inventory,True,True,63,59,128.93336344346523,37.7794509217129,2,25,58,31,0.031776,0.87321,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42001001,200,강릉-동진버스,True,4200055,해당화연립,BIS inventory,True,True,4,2,128.93501598562065,37.778964657496246,48,3,30,50,0.762631,0.104785,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42001001,200,강릉-동진버스,True,4200056,해당화연립,BIS inventory,True,True,64,60,128.9356053065312,37.7785328972295,0,27,,29,0.0,0.943067,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42001001,200,강릉-동진버스,True,4200086,강원대학교후문,BIS inventory,True,True,34,31,128.8748802531449,37.77322772576275,2,70,58,9,0.031776,2.444988,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200087,강원대학교후문,BIS inventory,True,True,36,33,128.87498639848286,37.77315204059329,333,0,4,,5.290753,0.0,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200088,문성고등학교,BIS inventory,True,True,37,34,128.8747975765768,37.776789915738114,315,2,5,54,5.004766,0.069857,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200089,문성고등학교,BIS inventory,True,True,33,30,128.87460137001867,37.776791669303456,5,38,56,18,0.079441,1.327279,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42001001,200,강릉-동진버스,True,4200090,한옥마을,BIS inventory,True,True,38,35,128.8775249835254,37.777067812459386,29,0,42,,0.460756,0.0,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42001001,200,강릉-동진버스,True,4200091,한옥마을,BIS inventory,True,True,32,29,128.877399547533,37.77711052551884,1,34,61,21,0.015888,1.187565,2025-05-27,2025-06-03,8,안목-안목커피거리,5
2025,42001001,200,강릉-동진버스,True,4200092,오죽헌,BIS inventory,True,True,39,36,128.8797380363922,37.77879711032111,57,12,26,41,0.905624,0.419141,2025-05-27,2025-06-03,8,안목-안목커피거리,7
2025,42001001,200,강릉-동진버스,True,4200093,오죽헌,BIS inventory,True,True,31,28,128.88009218006442,37.77900408798861,2,28,58,28,0.031776,0.977995,2025-05-27,2025-06-03,8,안목-안목커피거리,6
2025,42001001,200,강릉-동진버스,True,4200094,강릉여고,BIS inventory,True,True,48,45,128.90248424479844,37.75904463050879,94,31,16,24,1.493486,1.08278,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200095,한국자산관리공사,BIS inventory,True,True,21,18,128.90111921880606,37.75827929877246,80,29,21,27,1.271052,1.012924,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200101,강릉고입구,BIS inventory,True,True,9,6,128.92013482012848,37.783607089094346,117,3,11,50,1.858913,0.104785,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200102,강릉고입구,BIS inventory,True,True,59,56,128.92044843215433,37.78352944320342,7,33,53,22,0.111217,1.152637,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200103,경포고교,BIS inventory,True,True,58,55,128.9190546436117,37.78057981084284,10,19,51,33,0.158881,0.66364,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,True,4200104,동명중학교,BIS inventory,True,True,12,9,128.91637238303827,37.777185998905715,49,2,29,54,0.778519,0.069857,2025-05-27,2025-06-03,8,안목-안목커피거리,6
2025,42001001,200,강릉-동진버스,True,4200105,동명중학교,BIS inventory,True,True,56,53,128.9161008666347,37.77658681943468,19,16,45,35,0.301875,0.558854,2025-05-27,2025-06-03,8,안목-안목커피거리,6
