year,route_id,route_name_current,company_name_current,metric,rank,sttn_id,sttn_nm,count,route_total,share_pct,stop_on_current_route,period_start,period_end,days_supplied,route_name_source_2025,days_with_record
2025,42001001,200,강릉-동진버스,goff,1,4200252,신영극장,568,2863,19.839329,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,goff,2,4200253,교보생명,440,2863,15.368495,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,goff,3,4200249,용강동서부시장,176,2863,6.147398,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,goff,4,4200107,KT,130,2863,4.540692,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,goff,5,4200356,강원대학교,122,2863,4.261264,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,ride,1,4200252,신영극장,996,6294,15.824595,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,ride,2,4200356,강원대학교,810,6294,12.869399,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,ride,3,4200253,교보생명,532,6294,8.452494,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,ride,4,4200087,강원대학교후문,333,6294,5.290753,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001001,200,강릉-동진버스,ride,5,4200088,문성고등학교,315,6294,5.004766,True,2025-05-27,2025-06-03,8,안목-안목커피거리,8
2025,42001002,202,강릉-동진버스,goff,1,4200253,교보생명,696,3411,20.404573,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,goff,2,4201242,경포해변,393,3411,11.521548,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,goff,3,4200293,강릉역건너편,305,3411,8.941659,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,goff,4,4200120,강릉시외.고속터미널,302,3411,8.853709,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,goff,5,4200543,미디어촌5단지,172,3411,5.04251,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,ride,1,4200253,교보생명,1031,5646,18.260716,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,ride,2,4201242,경포해변,897,5646,15.887354,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,ride,3,4201260,강문해변입구,508,5646,8.99752,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,ride,4,4200251,한국은행,481,5646,8.519306,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
2025,42001002,202,강릉-동진버스,ride,5,4200293,강릉역건너편,220,5646,3.896564,True,2025-05-27,2025-06-03,8,경포해변-경포해변,8
