route_id,route_name,company_name,start_stop_name,end_stop_name,stop_visits,geometry_points,retrieved_at,source_url
42002001,101,강릉-동진버스,공단,학산설래,69,795,2026-09-25T06:21:31.273743+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002001
42002003,103,강릉-동진버스,차고지대기(미정차),어단리.법왕사,61,705,2026-09-25T06:21:32.770963+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002003
42002006,104-2,강릉-동진버스,안목,제비리,84,634,2026-09-25T06:21:34.050785+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002006
42002010,110,강릉-동진버스,강릉역건너편,옥계현내시장,20,918,2026-09-25T06:21:34.855960+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002010
42002013,112,강릉-동진버스,차고지대기(미정차),모래시계공원,71,1072,2026-09-25T06:21:36.616074+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002013
42002014,113,강릉-동진버스,강릉역건너편,산성우1리,64,1164,2026-09-25T06:21:38.306970+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002014
42001001,200,강릉-동진버스,안목,강원대학교,67,492,2026-09-25T06:21:40.095646+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001001
42091002,202,강릉-동해상사,경포해변,경포해변(종점),44,434,2026-09-25T06:21:41.323546+00:00,https://bis.gn.go.kr/search/route/map?routeId=42091002
42001002,202,강릉-동진버스,경포해변,경포해변(종점),44,434,2026-09-25T06:21:42.217778+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001002
42002072,202-1,강릉-동진버스,경포해변,경포해변(종점),44,427,2026-09-25T06:21:43.495163+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002072
42001003,206,강릉-동진버스,강릉고등학교,부영2차아파트,63,382,2026-09-25T06:21:45.297399+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001003
42092144,206-1,강릉-동해상사,강릉고등학교,부영2차아파트,63,393,2026-09-25T06:21:46.755253+00:00,https://bis.gn.go.kr/search/route/map?routeId=42092144
42001004,207,강릉-동진버스,허균.허난설헌기념공원,강원대학교,70,456,2026-09-25T06:21:48.418505+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001004
42002085,220,강릉-동진버스,안목,회산종점,68,371,2026-09-25T06:21:50.170848+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002085
42002035,222,강릉-동진버스,안목,가톨릭관동대학교,56,350,2026-09-25T06:21:51.280418+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002035
42002089,223-1,강릉-동진버스,가톨릭관동대학교,안목커피거리,30,198,2026-09-25T06:21:52.438547+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002089
42002038,227,강릉-동진버스,남항진해변,부영2차아파트,61,460,2026-09-25T06:21:54.152462+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002038
42002043,230-1,강릉-동진버스,강문해변,부영2차아파트,61,390,2026-09-25T06:21:55.721370+00:00,https://bis.gn.go.kr/search/route/map?routeId=42002043
42001005,300,강릉-동진버스,공단,향호리,55,442,2026-09-25T06:21:57.758198+00:00,https://bis.gn.go.kr/search/route/map?routeId=42001005
