period,sttn_id,ride_nope,goff_nope,reason
2025,~,65,0,ID absent from supplied BIS inventory
2025,4200724,387,336,ID absent from supplied BIS inventory
2025,4200692,520,58,ID absent from supplied BIS inventory
2025,4200690,124,0,ID absent from supplied BIS inventory
2025,4200688,76,43,ID absent from supplied BIS inventory
2025,4200686,20,1,ID absent from supplied BIS inventory
2025,4200684,960,37,ID absent from supplied BIS inventory
2025,4312050,6350,2760,ID absent from supplied BIS inventory
2025,4311940,7149,124,ID absent from supplied BIS inventory
2025,1102393,2644,40,ID absent from supplied BIS inventory
2025,4200722,254,100,ID absent from supplied BIS inventory
2025,4200712,79,37,ID absent from supplied BIS inventory
2025,4200704,1604,332,ID absent from supplied BIS inventory
2025,4201410,898,57,ID absent from supplied BIS inventory
2025,4200702,1487,278,ID absent from supplied BIS inventory
2025,4200700,351,32,ID absent from supplied BIS inventory
2025,4200698,179,54,ID absent from supplied BIS inventory
2025,4200696,759,87,ID absent from supplied BIS inventory
2025,4200694,78,131,ID absent from supplied BIS inventory
danoje_total,4200684,38,5,ID absent from supplied BIS inventory
danoje_total,4200692,17,2,ID absent from supplied BIS inventory
danoje_total,4200694,2,5,ID absent from supplied BIS inventory
danoje_total,4200696,31,1,ID absent from supplied BIS inventory
danoje_total,4200700,15,0,ID absent from supplied BIS inventory
danoje_total,4200702,49,7,ID absent from supplied BIS inventory
danoje_total,4200704,51,16,ID absent from supplied BIS inventory
danoje_total,4200722,10,6,ID absent from supplied BIS inventory
danoje_total,4200724,11,7,ID absent from supplied BIS inventory
danoje_total,4201410,27,0,ID absent from supplied BIS inventory
danoje_total,4311940,182,2,ID absent from supplied BIS inventory
danoje_total,4312050,159,64,ID absent from supplied BIS inventory
danoje_total,4200690,4,0,ID absent from supplied BIS inventory
danoje_total,4200698,7,1,ID absent from supplied BIS inventory
danoje_total,4200686,1,0,ID absent from supplied BIS inventory
danoje_total,4200688,3,1,ID absent from supplied BIS inventory
danoje_total,4200712,1,2,ID absent from supplied BIS inventory
2025-05-27,4200684,6,0,ID absent from supplied BIS inventory
2025-05-27,4200692,3,0,ID absent from supplied BIS inventory
2025-05-27,4200694,0,1,ID absent from supplied BIS inventory
2025-05-27,4200696,4,0,ID absent from supplied BIS inventory
2025-05-27,4200700,1,0,ID absent from supplied BIS inventory
2025-05-27,4200702,7,1,ID absent from supplied BIS inventory
2025-05-27,4200704,8,3,ID absent from supplied BIS inventory
2025-05-27,4200722,2,2,ID absent from supplied BIS inventory
2025-05-27,4200724,1,0,ID absent from supplied BIS inventory
2025-05-27,4201410,3,0,ID absent from supplied BIS inventory
2025-05-27,4311940,22,2,ID absent from supplied BIS inventory
2025-05-27,4312050,29,8,ID absent from supplied BIS inventory
2025-05-28,4200684,5,0,ID absent from supplied BIS inventory
2025-05-28,4200690,1,0,ID absent from supplied BIS inventory
2025-05-28,4200692,1,0,ID absent from supplied BIS inventory
2025-05-28,4200694,0,1,ID absent from supplied BIS inventory
2025-05-28,4200696,3,0,ID absent from supplied BIS inventory
2025-05-28,4200698,3,1,ID absent from supplied BIS inventory
2025-05-28,4200700,3,0,ID absent from supplied BIS inventory
2025-05-28,4200702,9,1,ID absent from supplied BIS inventory
2025-05-28,4200704,9,2,ID absent from supplied BIS inventory
2025-05-28,4200722,2,1,ID absent from supplied BIS inventory
2025-05-28,4200724,2,1,ID absent from supplied BIS inventory
2025-05-28,4201410,4,0,ID absent from supplied BIS inventory
2025-05-28,4311940,21,0,ID absent from supplied BIS inventory
2025-05-28,4312050,20,12,ID absent from supplied BIS inventory
2025-05-29,4200684,4,0,ID absent from supplied BIS inventory
2025-05-29,4200686,1,0,ID absent from supplied BIS inventory
