old_index,old_name,old_longitude,old_latitude,candidate_id,candidate_distance_m,name_candidate_count,comparison_accepted,nearest_any_id,nearest_any_distance_m
0,(구)월호평동사무소,128.9363884,37.7356374,4201421,33.356,1,True,4201421,33.356
1,IBK기업은행,128.8954183,37.7543569,,,0,False,4200252,63.839
2,KT,128.9118147,37.7728024,4200106,4.867,2,True,4200106,4.867
3,KTX역버스승강장,128.8993066,37.7641209,,,0,False,4200721,6.347
4,LH영동사업본부,128.8967158,37.7584578,,,0,False,4201411,4.019
5,e편한세상,128.895195,37.7696692,,,0,False,4200547,7.907
6,e편한세상,128.8950166,37.7698753,,,0,False,4200546,9.014
7,가작다리입구,128.8943781,37.7659127,4201376,6.944,2,True,4201376,6.944
8,가작다리입구,128.8942839,37.7661109,4201375,6.291,2,True,4201375,6.291
9,가톨릭관동대학교,128.8780425,37.7383253,4200063,3.238,1,True,4200063,3.238
10,강남동주민센터,128.9048984,37.7442456,4200789,2.318,1,True,4200789,2.318
11,강릉MBC,128.9039236,37.7704289,4200542,4.304,1,True,4200542,4.304
12,강릉경찰서,128.9068785,37.7680964,4200057,4.569,2,True,4200057,4.569
13,강릉경찰서,128.906871,37.7678156,4200058,7.046,2,True,4200058,7.046
14,강릉고속버스터미널,128.8800733,37.7548222,,,0,False,4200120,78.616
15,강릉고입구,128.9204413,37.7835718,4200102,4.739,2,True,4200102,4.739
16,강릉고입구,128.920144,37.7836278,4200101,2.434,2,True,4200101,2.434
17,강릉고정문,128.915562,37.788325,4200047,6.732,2,True,4200047,6.732
18,강릉관광개발공사,128.8801026,37.7536488,4200112,2957.118,2,False,4200750,2.686
19,강릉관광호텔,128.9045471,37.7662213,,,0,False,4200322,3.608
20,강릉관광호텔,128.904898,37.7662224,,,0,False,4200321,3.99
21,강릉교도소,128.8664899,37.7458245,4201024,4.772,2,True,4201024,4.772
22,강릉교도소,128.8652396,37.7459714,4201023,25.312,2,True,4201023,25.312
23,강릉국민체육센터,128.8964913,37.7769486,4200431,4.706,2,True,4200431,4.706
24,강릉녹색도시체험센터,128.907619,37.7870392,4201256,26.612,2,True,4201256,26.612
25,강릉녹색도시체험센터,128.9064871,37.7865828,4201257,12.232,2,True,4201257,12.232
26,"강릉농협(복편)경포고,안목방향",128.8999746,37.7601505,,,0,False,4201038,7.199
27,"강릉대,치대",128.8696712,37.7640661,,,0,False,4209996,7.872
28,강릉대도호부관아,128.8917294,37.7512583,4200852,11.18,2,True,4200852,11.18
29,강릉바른이치과의원,128.8957301,37.7542981,,,0,False,4200252,40.496
30,강릉버스터미널,128.8789735,37.754924,,,0,False,4200121,14.074
31,강릉버스터미널,128.878857,37.7549293,,,0,False,4200121,23.793
32,강릉소방서,128.871146,37.758177,4200291,4.449,2,True,4200291,4.449
33,강릉시외고속터미널,128.8792194,37.755104,4200120,5.479,2,True,4200120,5.479
34,강릉시외버스터미널,128.8778316,37.7549888,,,0,False,4200121,113.474
35,강릉시외버스터미널,128.8791395,37.7544547,,,0,False,4200121,45.659
36,강릉시외버스터미널,128.8793126,37.7539895,,,0,False,4200750,81.148
37,강릉시외버스터미널(버스정류장),128.87795,37.7546,,,0,False,4200121,106.439
